id,name,image,bio,career,age,height,cup,size,birthplace,genre,catch,tags
yukihira_risa,雪平莉左,https://images.entamenext.com/articles/26000/26421/478x850/69093369a230d08e00097b7a3687acce.jpg,美人系グラビア,圧倒的美貌で話題,29,164,F,B88 W57 H87,愛知県,グラビア,美しすぎるグラドル,"美人系,大人系,清楚"
amaki_jun,天木じゅん,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1GVzTUeUeFc-Yj14klFurGjdyuNvA5a8boQ&s,Iカップアイドル,Iカップで人気爆発,29,148,I,B95 W59 H93,兵庫県,グラビア,Iカップ天使,"Iカップ,巨乳,小柄"
tomaru_sayaka,都丸紗也華,https://platinumproduction.jp/wp-content/uploads/2023/09/①都丸紗也華.jpg,グラビアアイドル,長年活躍する人気グラドル,28,157,F,B88 W60 H84,群馬県,グラビア,王道グラビア,"可愛い系,巨乳,癒し系"
kishi_asuka,岸明日香,https://www.crank-in.net/img/db/226027153130396_650.jpg,グラビアタレント,バラエティでも活躍,33,158,F,B90 W58 H88,大阪府,グラビア,万能グラドル,"巨乳,大人系,綺麗系"
hazuki_aya,葉月あや,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9WhGwZysX-eo3rriPHbjitJnFlLiTnx_j3g&s,グラビア,セクシー系で人気,32,152,H,B90 W59 H86,愛知県,グラビア,色気爆発,"Hカップ,色気,大人系"
inudo_minori,犬童美乃梨,https://news.walkerplus.com/article/198675/1202360_615.jpg,グラビア,スポーツ系グラドル,30,158,G,B88 W59 H84,愛知県,グラビア,筋トレ美女,"巨乳,健康的,スポーツ"
suzuki_fumina,鈴木ふみ奈,https://www.shosen.co.jp/assets/uploads/2024/07/1723620022-368847ece790215539ca3bc9b572cc6f.jpg,グラビア,長年トップクラス,34,167,H,B96 W60 H93,埼玉県,グラビア,レジェンドボディ,"Hカップ,巨乳,大人系"
yanase_saki,柳瀬さき,https://hominis.media/2024/08/images/SYanase_1.jpg,グラビア,迫力ボディで人気,37,153,I,B100 W65 H89,千葉県,グラビア,爆乳クイーン,"Iカップ,巨乳,インパクト"
sono_miyako,園都,https://llcsv-prd.s3.amazonaws.com/uploads/brand_magazine_content/pwb_image/19725/9b18c2e4-7d8d-417f-a345-c18d32c3c7f1.jpg,グラビア,美ボディで話題,32,154,F,B90 W60 H88,徳島県,グラビア,癒し系ボディ,"癒し系,巨乳,大人系"
matsushima_eimi,松嶋えいみ,https://pbs.twimg.com/media/Fp4d4pKaMAAd5J5.jpg,グラビア,スタイル抜群,32,168,F,B87 W60 H86,埼玉県,グラビア,美脚美女,"美脚,モデル体型,綺麗系"
wachi_tsukasa,和地つかさ,https://example.com/morisaki.jpg,グラビア,小柄巨乳,31,148,H,B90 W62 H82,栃木県,グラビア,ミニマムボディ,"Hカップ,小柄,巨乳"
shimizu_airi,清水あいり,https://example.com/morisaki.jpg,関西タレント,トークも人気,31,156,E,B90 W58 H85,大阪府,グラビア,関西の色気,"色気,大人系,関西"
kurusu_usako,来栖うさこ,https://example.com/morisaki.jpg,コスプレイヤー,ストリーマーとしても活躍,33,165,F,B90 W58 H88,東京都,コスプレ,ゲーム女子,"コスプレ,オタク系,可愛い系"
iorimoe,伊織もえ,https://example.com/morisaki.jpg,コスプレイヤー,世界的人気コスプレイヤー,31,162,E,B84 W58 H90,千葉県,コスプレ,2.5次元美女,"コスプレ,可愛い系,人気"
rosiel,火将ロシエル,https://example.com/morisaki.jpg,コスプレイヤー,黒髪美少女で人気,29,156,E,B84 W55 H83,埼玉県,コスプレ,ゴスロリ美女,"コスプレ,黒髪,個性派"
miyamoto_saki,宮本彩希,https://example.com/morisaki.jpg,コスプレイヤー,透明感で人気,31,153,D,B80 W58 H82,東京都,コスプレ,透明感女子,"清楚,可愛い系,透明感"
shinohara_minami,篠原みなみ,https://example.com/morisaki.jpg,コスプレイヤー,SNSで人気急上昇,28,155,E,B85 W60 H85,東京都,コスプレ,SNS美女,"コスプレ,可愛い系,SNS"
kujo_negi,九条ねぎ,https://example.com/morisaki.jpg,コスプレイヤー,イベント中心に活躍,27,158,D,B82 W58 H84,東京都,コスプレ,イベント女王,"コスプレ,イベント,可愛い系"
akabane_momo,赤羽もも,https://example.com/morisaki.jpg,コスプレイヤー,若手人気,24,160,E,B86 W59 H85,東京都,コスプレ,次世代コスプレ,"コスプレ,可愛い系,若手"
momotsuki_nashiko,桃月なしこ,https://example.com/morisaki.jpg,コスプレイヤー / 女優,女優としても活躍,29,160,F,B84 W60 H83,愛知県,グラビア / コスプレ,美人コスプレイヤー,"美人系,コスプレ,女優"
hashimoto_rina,橋本梨菜,https://example.com/morisaki.jpg,グラビア,人気継続,31,158,G,B88 W58 H85,大阪府,グラビア,黒肌人気,"巨乳,ギャル,健康的"
aizawa_mina,相沢みなみ,https://example.com/morisaki.jpg,グラビア,セクシー系で人気,27,160,E,B85 W58 H86,東京都,グラビア,大人系美女,"大人系,色気,美人系"
sakurai_miu,桜井美羽,https://example.com/morisaki.jpg,アイドル,若手人気,22,158,D,B82 W58 H84,東京都,アイドル,次世代アイドル,"可愛い系,若手,アイドル"
yoshida_risako,吉田莉桜,https://example.com/morisaki.jpg,グラビア,美少女で話題,22,162,C,B78 W58 H84,長崎県,グラビア,透明感美女,"美少女,透明感,清楚"
nagao_mari,長尾まりや,https://example.com/morisaki.jpg,元AKB48,グラビアで活躍,30,158,E,B85 W60 H86,神奈川県,グラビア,元AKBグラドル,"可愛い系,アイドル系,人気"
okada_sarina,岡田紗佳,https://example.com/morisaki.jpg,モデル / プロ雀士,多方面で活躍,30,170,D,B83 W59 H85,東京都,グラビア / モデル,役満ボディ,"高身長,モデル体型,知的"
hayama_mari,葉山まりあ,https://example.com/morisaki.jpg,モデル,スタイル抜群,26,168,C,B80 W58 H85,東京都,モデル,長身美女,"モデル体型,高身長,綺麗系"
fujiki_yuki,藤木由貴,https://example.com/morisaki.jpg,レースクイーン,RQで人気,32,160,E,B84 W58 H83,静岡県,グラビア / RQ,RQ美女,"可愛い系,モデル体型,人気"
arai_haruka,新井遥,https://example.com/morisaki.jpg,グラビア,癒し系で人気,24,158,D,B82 W59 H84,東京都,グラビア,癒し系女子,"癒し系,可愛い系,清楚"
yamamoto_yuka,山本ゆうか,https://example.com/morisaki.jpg,グラビア,SNSで人気,25,160,E,B85 W58 H86,大阪府,グラビア,SNS美女,"SNS,可愛い系,巨乳"
ishida_momo,石田桃香,https://example.com/morisaki.jpg,グラビア,ミスコン出身,27,160,F,B88 W60 H84,大阪府,グラビア,浪速のピーチ姫,"巨乳,可愛い系,美少女"
tanaka_hitomi,田中瞳,https://example.com/morisaki.jpg,女子アナ,知的美人,29,166,C,B80 W59 H85,東京都,グラビア / アナウンサー,知性派美女,"知的,清楚,美人系"
kato_yui,加藤結,https://example.com/morisaki.jpg,アイドル,若手人気,21,156,D,B80 W58 H83,東京都,アイドル,次世代可愛い,"可愛い系,若手,アイドル"
sato_nozomi,佐藤望美,https://example.com/morisaki.jpg,グラビア,大人系人気,28,162,F,B88 W58 H86,東京都,グラビア,大人美女,"大人系,巨乳,色気"
nakamura_misaki,中村美咲,https://example.com/morisaki.jpg,グラビア,ナチュラル系,26,158,D,B82 W60 H84,東京都,グラビア,ナチュラル美女,"ナチュラル,清楚,可愛い系"
watanabe_rina,渡辺梨加,https://example.com/morisaki.jpg,元欅坂46,モデルとして活躍,29,166,D,B82 W58 H84,茨城県,モデル,クール美女,"モデル体型,清楚,綺麗系"
sasaki_kumi,佐々木久美,https://example.com/morisaki.jpg,日向坂46,キャプテン,30,167,C,B80 W58 H85,千葉県,アイドル,頼れるキャプテン,"アイドル,清楚,人気"
moriya_akane,守屋茜,https://example.com/morisaki.jpg,元櫻坂46,モデル活動,27,164,C,B80 W58 H84,宮城県,モデル,美人キャプテン,"綺麗系,モデル体型,清楚"
shibata_ayaka,柴田彩花,https://example.com/morisaki.jpg,グラビア,若手人気,23,160,E,B84 W58 H85,東京都,グラビア,フレッシュ美女,"可愛い系,若手,巨乳"
kawaguchi_haruna,川口春奈,https://example.com/morisaki.jpg,女優,トップ女優,30,166,C,B80 W60 H86,長崎県,グラビア / 女優,国民的女優,"美人系,清楚,人気"
hashimoto_kanna,橋本環奈,https://example.com/morisaki.jpg,女優,1000年に一人の逸材,27,152,D,B82 W60 H83,福岡県,グラビア / 女優,奇跡の一枚,"美少女,可愛い系,人気"
nagano_mei,永野芽郁,https://example.com/morisaki.jpg,女優,若手トップ,26,163,C,B80 W57 H85,東京都,グラビア / 女優,透明感女優,"透明感,清楚,人気"
hamabe_minami,浜辺美波,https://example.com/morisaki.jpg,女優,映画で活躍,25,157,C,B78 W57 H83,石川県,グラビア / 女優,清純派女優,"清楚,美少女,人気"
arimura_kasumi,有村架純,https://example.com/morisaki.jpg,女優,朝ドラヒロイン,33,160,C,B80 W60 H85,兵庫県,グラビア / 女優,国民的ヒロイン,"清楚,癒し系,人気"
fukuhara_haruka,福原遥,https://example.com/morisaki.jpg,女優,元子役,27,159,C,B80 W56 H84,埼玉県,グラビア / 女優,まいんちゃん,"可愛い系,清楚,人気"
yoshikawa_ai,吉川愛,https://example.com/morisaki.jpg,女優,若手演技派,26,162,C,B79 W59 H84,東京都,グラビア / 女優,実力派若手,"美少女,清楚,女優"
shiraishi_mai,白石麻衣,https://example.com/morisaki.jpg,元乃木坂46,モデル女優,33,162,C,B81 W59 H84,群馬県,グラビア / モデル,白石様,"美人系,モデル体型,人気"
nishino_nanase,西野七瀬,https://example.com/morisaki.jpg,元乃木坂46,女優活動,31,159,B,B80 W58 H83,大阪府,グラビア / 女優,なぁちゃん,"可愛い系,清楚,人気"
ikuta_erika,生田絵梨花,https://example.com/morisaki.jpg,元乃木坂46,ミュージカル女優,29,160,C,B82 W58 H85,東京都,女優,歌姫,"清楚,実力派,人気"
saito_asuka,齋藤飛鳥,https://example.com/morisaki.jpg,元乃木坂46,モデル女優,27,158,B,B78 W56 H83,東京都,モデル / 女優,小顔美女,"モデル体型,美少女,人気"
yoda_yuuki,与田祐希,https://example.com/morisaki.jpg,乃木坂46,人気メンバー,25,153,C,B80 W58 H83,福岡県,アイドル,ちっちゃいけど色気,"小柄,可愛い系,人気"
endo_sakura,遠藤さくら,https://example.com/morisaki.jpg,乃木坂46,センター経験,24,164,C,B78 W57 H84,愛知県,アイドル,透明感センター,"透明感,清楚,人気"
kubo_shiori,久保史緒里,https://example.com/morisaki.jpg,乃木坂46,演技でも活躍,25,161,C,B80 W58 H84,宮城県,アイドル,文学少女,"清楚,知的,人気"
yamashita_mizuki,山下美月,https://example.com/morisaki.jpg,乃木坂46,人気トップ,26,160,D,B82 W59 H85,東京都,アイドル,万能アイドル,"可愛い系,人気,美少女"
uemura_akari,上村ひなの,https://example.com/morisaki.jpg,日向坂46,若手人気,22,162,C,B78 W58 H84,東京都,アイドル,天然系,"可愛い系,若手,アイドル"
kanemura_miku,金村美玖,https://example.com/morisaki.jpg,日向坂46,人気メンバー,23,163,C,B80 W58 H85,埼玉県,アイドル,おすし,"可愛い系,清楚,人気"
kosaka_nao,小坂菜緒,https://example.com/morisaki.jpg,日向坂46,センター,23,161,C,B80 W58 H84,大阪府,アイドル,絶対的エース,"美少女,清楚,人気"
